LESSTHAN80,LTHS_25TO34_PCT,TOT_POP,TOT_HOUSING_UNITS,UNEMPLRT,POVRT,PASSED_THRESHOLD,CDBG_PER_PR_RESID
20355,2.45,138572,55339,4.52,7.51,1,183.49248351864605
17670,2.08,99417,53905,3.96,9.51,1,140.77022150882826
496525,3.06,3170345,1101244,4.96,10.14,1,255.41986804414475
47225,1.17,391799,166083,4.16,7.14,1,70.92073310506397
3605,3.75,18844,15873,6.33,12.49,1,446.97173160173156
315190,3.02,2437864,845066,7.27,12.53,1,232.48412959683648
233565,2.51,1661584,605767,4.73,9.3,1,345.12985762199133
6285,2.4,39023,18246,5.64,8.11,1,128.8300835654596
40205,1.1,223344,93968,7.41,18.22,1,201.8783327452364
160820,3.23,1147788,415067,5.48,8.17,1,234.76876866514013
4815,1.16,27692,11349,6.39,17.12,1,1418.7198673928488
27565,1.38,190345,91569,4.66,8.49,1,65.60153764514921
142950,5.2,990204,333357,8.85,20.79,1,170.8234980424724
5200,17.73,28060,11210,5.67,15.15,1,700.8633658652702
26470,2.75,136101,63003,9.04,19.73,1,107.18080885158336
24905,3.13,180580,57855,13.7,22.53,1,192.41964148094146
130920,4.63,892458,299179,9.13,20.43,1,126.81888426510216
18755,6.14,151090,46267,8.44,16.01,1,131.38608544823808
12650,2.66,64276,34477,10.54,17.54,1,27.239938500497423
3820,5.76,30600,12766,6.15,13.28,1,90.5402672444926
1828490,3.61,10040682,3559790,6.45,14.18,1,334.91518842711764
2085,0.6,9533,5745,4.06,6.17,1,34.602076124567475
2240,1.67,8130,4343,9.77,20.78,1,150.19759071980963
92830,5.39,751615,245192,7.25,13.71,1,183.36391740905165
46975,3.09,282517,122256,4.47,11.09,1,210.68997190916167
118075,2.78,765623,278756,3.99,6.18,1,401.5760369115359
63090,8.3,444895,159317,5.7,12.87,1,396.5470222075758
247130,2.5,1924379,668896,4.25,7.17,1,410.4539291895913
45755,3.87,273170,105819,6.08,11.91,1,130.45507583547558
32550,2.39,179267,78488,5.91,15.05,1,158.1034655146393
9520,2.5,43516,24177,7.39,16.92,1,340.57389635316696
59355,2.35,444538,159055,5.88,9.08,1,262.0911500964761
75835,3.04,496801,206498,4.62,8.8,1,156.11645615745255
72240,3.64,546235,182239,8.82,13.49,1,191.50282707466607
12945,4.22,96315,34394,7.7,13.1,1,140.51002728731942
12460,3.99,64176,27618,8.86,18.82,1,8.13722529776883
3420,0.0,12541,8895,9.05,23.2,1,81.95314685314685
69035,6.14,463955,150079,9.9,21.76,1,122.37353528762172
9220,1.61,54147,31572,7.3,10.99,1,160.71189791516895
127825,5.4,845599,289425,5.1,8.94,1,353.0102351945627
34450,2.02,218774,78565,5.58,18.59,1,153.70177181927187
11415,2.91,77524,28632,7.11,15.07,1,11.843032399299474
83560,3.79,509844,173439,4.07,9.89,1,141.39917731149643
3730,3.45,16153,6887,6.88,18.53,1,40.61831789023521
107145,2.35,649980,252835,4.36,7.76,1,327.00334995594005
52065,1.28,324682,135409,4.52,11.16,1,117.64549458731886
8470,0.89,69444,28037,3.59,4.97,1,37.342296943231446
3725,0.49,14323,8549,7.85,18.22,1,5.518815896188158
26325,0.96,152962,64244,6.88,13.0,1,97.80029858429859
2555,5.83,11300,6832,9.35,15.55,1,212.40579710144928
1660,0.87,8110,6756,3.02,10.41,1,885.7740784780024
2520,0.49,13150,6197,5.05,17.81,1,60.317905172413795
4315,4.24,18284,8930,5.92,22.2,1,69.91740040342916
32505,2.39,167412,71284,6.89,17.64,1,202.6270939667129
6355,5.0,30758,14860,6.91,18.08,1,44.086188778382436
136525,2.13,715878,306269,4.34,11.86,1,642.9615335983524
29680,0.16,344280,125886,3.48,3.18,1,107.52082668866282
107425,1.27,710499,276538,5.93,9.84,1,117.13504303052592
8325,1.98,47725,20035,5.52,13.23,1,76.70230263157895
1810,0.39,6769,5296,2.28,16.2,1,808.175947467167
90005,1.17,578795,237789,3.95,6.73,1,157.50656887289418
9565,0.49,56138,26840,3.94,10.34,1,377.19983773181167
59810,0.92,350523,144583,5.09,11.09,1,95.6751860864965
11140,2.26,70898,29155,8.77,14.11,1,60.759221421658246
6355,8.1,37371,15307,8.76,25.99,1,68.9324043478261
167645,2.52,948651,413084,5.32,14.52,1,123.5740083902584
54350,1.47,316691,142456,6.35,14.0,1,78.00496418167057
4065,3.3,30735,31158,3.09,7.5,1,39.74125874125874
41820,3.31,315389,106044,5.05,10.27,1,124.56851806200815
1805,9.56,10013,4493,4.12,11.4,1,863.6322383985442
26770,4.5,179124,73073,6.17,13.24,0,16.39402887709837
88595,2.4,558306,224242,6.1,10.75,0,112.49579085889253
39975,4.96,230249,141123,4.84,11.7,0,12.060043750471449
110835,1.38,701974,319192,7.12,15.45,1,720.635830488147
51295,1.44,268105,118861,4.98,20.71,1,53.7365519402815
28935,1.37,180076,104060,4.4,13.01,1,197.037011683254
94250,1.76,594001,280648,5.12,11.18,1,119.98778861961883
338020,2.37,1942273,826382,5.91,12.71,1,172.72854095956936
2180,4.98,14324,6010,4.03,16.28,1,747.9060769615193
32750,3.71,185926,105857,5.83,10.6,1,24.00836545435706
28490,1.58,147938,80222,7.88,14.97,1,17.70005895085893
63985,6.56,379345,218348,4.39,10.96,1,85.21221144049294
3485,2.99,18557,8664,4.38,29.77,1,74.20961380443714
67940,3.43,393847,194960,5.65,10.96,1,151.17131318101934
59575,3.97,360210,170926,6.92,15.53,1,130.58648620251066
24520,4.54,160420,80542,4.62,10.27,1,95.43948454246949
174105,1.97,970985,510798,5.15,11.59,1,172.18418548154034
95115,3.72,705735,300596,5.39,15.11,1,90.52733353108344
14040,2.17,73784,37497,8.52,22.44,1,86.95119494918386
510845,3.52,2705528,1032310,5.05,16.01,1,314.73599206330624
33090,2.1,207430,97802,4.13,10.74,1,63.66179770072316
204965,2.61,1373784,545974,5.51,14.18,1,101.36993110520919
55310,2.7,363666,155925,5.7,13.38,1,94.51628225556131
254810,5.91,1482057,690075,6.05,11.62,1,178.92597407032335
96560,2.32,539885,247024,6.01,12.25,1,88.05011906225035
17280,0.53,112854,52816,4.04,10.99,1,52.59031313542091
3665,4.93,18245,7607,4.15,13.01,1,604.1956406748747
2185,20.14,13777,7099,10.57,17.08,1,112.23742360131641
2215,7.74,14397,5841,9.96,25.71,1,205.6144149493538
6315,12.88,41472,14932,6.91,26.8,1,54.3268050739186
18565,7.7,104574,55919,8.44,16.05,1,36.21827872327539
221280,3.35,1451358,590714,5.18,13.99,1,136.0177066025907
3400,4.49,19530,8723,5.48,21.37,1,154.34076618229855
24860,2.29,156964,81185,6.29,10.28,1,144.79741217652207
7940,1.74,47409,21111,5.93,18.13,1,195.3079271513972
64530,1.91,356115,160237,6.1,11.1,1,103.2746381123365
119100,4.94,756570,401252,4.95,11.81,1,86.88978639545155
52155,1.94,291863,131341,6.28,19.59,1,145.37379901781134
7840,1.98,40979,20760,6.42,19.18,1,227.61637623508275
46105,1.66,289649,126234,7.38,14.42,0,134.3030035052579
55880,3.85,320914,143823,5.4,13.1,1,52.74499303353512
22130,1.97,179587,73023,5.55,10.0,1,31.221974780194355
76375,1.72,427766,244910,4.0,8.65,1,181.18237532880315
65905,1.16,466695,192073,4.57,9.79,1,123.87818236034722
90940,1.81,546107,262438,4.69,13.23,1,121.03244838550133
4240,4.76,25094,10957,6.4,23.78,1,224.76339484089627
27170,2.44,153026,70138,7.44,25.04,0,47.85238517105084
16200,2.99,88696,40572,10.44,27.31,0,268.7616525825644
22580,3.38,145063,53038,6.7,11.47,0,29.353442503195957
13335,3.97,85008,43486,4.76,17.07,0,51.46448041005477
11385,1.13,113544,43000,4.15,4.66,0,7.160588122971166
15505,6.02,97805,40713,5.57,18.55,0,29.35921679450949
169085,1.61,1051550,479696,5.79,13.37,0,234.76269865750126
30545,2.74,253780,94658,3.76,6.91,0,98.71027041021806
28890,1.62,126952,53452,5.81,26.53,0,94.36184314236394
58345,3.48,287560,105992,7.05,16.61,0,98.99326249491206
99220,3.38,756653,302537,4.78,8.6,0,111.0960166357153
10725,1.29,154257,58653,4.77,6.56,0,3.1460428073668494
125895,3.67,755287,314430,6.68,14.39,0,191.82714902787538
123625,4.89,926414,312887,4.05,10.52,0,94.80223972383286
28120,8.42,201434,74544,3.53,13.98,0,14.965428663630822
31160,1.17,229994,82938,5.71,9.12,0,18.4378005949525
22965,2.68,155317,63867,5.49,11.56,0,35.25079450350599
9895,4.23,70467,26093,3.94,9.35,0,73.83479464697739
9095,1.24,62039,28566,9.3,14.59,0,12.633117478510028
18745,1.84,116436,48525,5.81,22.65,0,12.702304267307616
5175,2.21,29624,12032,6.28,19.93,0,0.1525187969924812
32355,1.67,195418,85012,8.58,20.04,0,60.31394840008477
3570,0.35,39194,14578,2.93,6.18,0,23.65900665004156
36075,2.77,202178,89055,9.29,23.2,0,121.8129065441506
3240,5.96,23847,8838,3.39,11.39,0,307.3480044759418
15570,7.23,104122,40236,5.95,16.24,0,133.03310423413697
32485,1.37,201350,88624,6.33,13.98,1,235.39139130434782
140670,1.27,979682,352788,4.18,8.42,1,593.8014544041905
9900,0.57,71949,31261,3.55,7.89,1,206.7749732905983
